Condition,Subcondition,Progress Note (P) or Handover Checklist (H),Line,Text
Atrial Fibrillation,A.Fib,H,3,@Anticoagulation agent used_ and if none - reason:_
Atrial Fibrillation,A.Fib,H,4,@If new to anticoagulation - was consent for Anticoagulation discused?
Atrial Fibrillation,A.Fib,H,5,@If new onset A.Fib - check for Tachymyopathy
Atrial Fibrillation,A.Fib - on Digoxin,P,1,Profile: Diagnosed___ and Any Hx of HTN Stroke or TIA
Atrial Fibrillation,A.Fib - on Digoxin,P,2,Severe Mitral Stenosis or Valve replacement: Y or N
Atrial Fibrillation,A.Fib - on Digoxin,P,3,Hx of Hyperthyroidism: Y or N
Atrial Fibrillation,A.Fib - on Digoxin,P,4,If new onset A.Fib - check for tachymyopathy
Atrial Fibrillation,A.Fib - on Digoxin,P,5,Symptoms (e.g. Palpitations; CP; Dyspnea):
Atrial Fibrillation,A.Fib - on Digoxin,P,6,Management Plan:
Atrial Fibrillation,A.Fib - on Digoxin,P,7,$Rate Control: HR=_ Agent(s):
Atrial Fibrillation,A.Fib - on Digoxin,P,8,$Anticoagulation: CHADS2=_ HASBLED=_
Atrial Fibrillation,A.Fib - on Digoxin,P,9,$Anticoagulation agent used__________ and if none - reason:_
Atrial Fibrillation,A.Fib - on Digoxin,P,10,Digoxin:
Atrial Fibrillation,A.Fib - on Digoxin,P,11,$Date of Digoxin Loading:
Atrial Fibrillation,A.Fib - on Digoxin,P,12,$Last Dig Level:_ Date:
Atrial Fibrillation,A.Fib - on Digoxin,P,13,$Any symptoms of Dig Toxicity:
Atrial Fibrillation,A.Fib - on Digoxin,P,14,%Vitals
Atrial Fibrillation,A.Fib - on Digoxin,P,15,%CVS1
Atrial Fibrillation,A.Fib - on Digoxin,P,16,%CVS2
Atrial Fibrillation,A.Fib - on Digoxin,P,17,%Pulmonary1
Atrial Fibrillation,A.Fib - on Digoxin,P,18,%Pulmonary2
Atrial Fibrillation,A.Fib - on Digoxin,P,19,%Pulmonary3
Atrial Fibrillation,A.Fib - on Digoxin,P,20,%Fluid Status1
Atrial Fibrillation,A.Fib - on Digoxin,P,21,%Fluid Status2
Atrial Fibrillation,A.Fib - on Digoxin,P,22,%Edema
Atrial Fibrillation,A.Fib - on Digoxin,P,23,%JVP
Atrial Fibrillation,A.Fib - on Digoxin,H,1,Check HR
Atrial Fibrillation,A.Fib - on Digoxin,H,2,Check INR (if on Warfarin) ; Target range:
Atrial Fibrillation,A.Fib - on Digoxin,H,3,Check Dig Level
Atrial Fibrillation,A.Fib - on Digoxin,H,4,Check for symptoms of Dig Toxicity
Atrial Fibrillation,A.Fib - on Digoxin,H,5,@Anticoagulation agent used___________ and if none - reason:_
Atrial Fibrillation,A.Fib - on Digoxin,H,6,@If new to anticoagulation - was consent for Anticoagulation discused?
Atrial Fibrillation,A.Fib - on Digoxin,H,7,@If new onset A.Fib - check for Tachymyopathy
Hypertension,Primary HTN,P,1,Plan:
Hypertension,Primary HTN,H,1,@Plan:
Hypertension,Primary HTN Work-up,P,1,Date Diagnosed:
Hypertension,Primary HTN Work-up,P,2,Home Agents:
Hypertension,Primary HTN Work-up,P,3,Smoker: Y or N
Hypertension,Primary HTN Work-up,P,4,Potential Drugs Contributing (e.g. NSAIDs OCP Steroids Decongestants Rec drugs):
Hypertension,Primary HTN Work-up,P,5,Common Investigations:
Hypertension,Primary HTN Work-up,P,6,ECG:
Hypertension,Primary HTN Work-up,P,7,Chemistry (Na K and SCr):
Hypertension,Primary HTN Work-up,P,8,Last HbA1C:_ or Fasting Blood Glucose:_
Hypertension,Primary HTN Work-up,P,9,UA:_
Hypertension,Primary HTN Work-up,P,10,Last lipid Panel:_
Hypertension,Primary HTN Work-up,P,11,Plan:
Hypertension,Primary HTN Work-up,P,12,%Vitals
Hypertension,Primary HTN Work-up,P,13,%CVS1
Hypertension,Primary HTN Work-up,P,14,%CVS2
Hypertension,Primary HTN Work-up,P,15,%Pulmonary1
Hypertension,Primary HTN Work-up,P,16,%Pulmonary2
Hypertension,Primary HTN Work-up,P,17,%Pulmonary3
Hypertension,Primary HTN Work-up,P,18,%In's And Out's
Hypertension,Secondary HTN Workup,P,1,Reason for Work-up:
Hypertension,Secondary HTN Workup,P,2,Symptoms:
Hypertension,Secondary HTN Workup,P,3,Family History of Secondary Causes:
Hypertension,Secondary HTN Workup,P,4,Hx of OSA:
Hypertension,Secondary HTN Workup,P,5,Hx of Thyroid Disease:
Hypertension,Secondary HTN Workup,P,6,Potential Drugs Contributing (e.g. NSAIDs OCP Steroids Decongestants Rec drugs):
Hypertension,Secondary HTN Workup,P,7,Home Anti-HTN agents:
Hypertension,Secondary HTN Workup,P,8,ECG:
Hypertension,Secondary HTN Workup,P,9,Chemistry (Na K and SCr):
Hypertension,Secondary HTN Workup,P,10,Ca:_ Albumin:_ Corrected Ca:_
Hypertension,Secondary HTN Workup,P,11,HgA1C:_ or Fasting Blood Glucose:_
Hypertension,Secondary HTN Workup,P,12,UA:_
Hypertension,Secondary HTN Workup,P,13,Last Lipid Panel:_
Hypertension,Secondary HTN Workup,P,14,Consider Beta-HCG:
Hypertension,Secondary HTN Workup,P,15,Bilateral BP Measurement:
Hypertension,Secondary HTN Workup,P,16,Abdominal Bruit: Y or N
Hypertension,Secondary HTN Workup,P,17,Renal Vascular Disease Testing (center dependent):
Hypertension,Secondary HTN Workup,P,18,Plasma Aldo / Renin Ratio:
Hypertension,Secondary HTN Workup,P,19,Catecholamines & Metanephrines testing (plasma or 24h urine with Cr):
Hypertension,Secondary HTN Workup,P,20,Consider repeat testing or clonidine Suppression Test if 24h urine inconclusive
Hypertension,Secondary HTN Workup,P,21,Plan:
Hypertension,Secondary HTN Workup,P,22,%Vitals
Hypertension,Secondary HTN Workup,P,23,%In's And Out's
Hypertension,Secondary HTN Workup,P,24,%Fluid Status1
Hypertension,Secondary HTN Workup,P,25,%Fluid Status2
Hypertension,Secondary HTN Workup,P,26,%Edema
Hypertension,Secondary HTN Workup,P,27,%JVP
Hypertension,Secondary HTN Workup,P,28,%CVS1
Hypertension,Secondary HTN Workup,P,29,%CVS2
Hypertension,Secondary HTN Workup,P,30,%Pulmonary1
Hypertension,Secondary HTN Workup,P,31,%Pulmonary2
Hypertension,Secondary HTN Workup,P,32,%Pulmonary3
Hypertension,Urgency/Emergency,P,1,Symptoms: HA Vision changes Hearing changes CP Palpitations Dyspnea
Hypertension,Urgency/Emergency,P,2,Secondary Causes:
Hypertension,Urgency/Emergency,P,3,Home Agents:
Hypertension,Urgency/Emergency,P,4,ECG:
Hypertension,Urgency/Emergency,P,5,Chemistry (Na K and SCr):
Hypertension,Urgency/Emergency,P,6,UA:_
Hypertension,Urgency/Emergency,P,7,Plan:
Hypertension,Urgency/Emergency,P,8,%Vitals
Hypertension,Urgency/Emergency,P,9,%In's And Out's
Hypertension,Urgency/Emergency,P,10,%Fluid Status1
Hypertension,Urgency/Emergency,P,11,%Fluid Status2
Hypertension,Urgency/Emergency,P,12,%Edema
Hypertension,Urgency/Emergency,P,13,%JVP
Hypertension,Urgency/Emergency,P,14,%CVS1
Hypertension,Urgency/Emergency,P,15,%CVS2
Hypertension,Urgency/Emergency,P,16,%Pulmonary1
Hypertension,Urgency/Emergency,P,17,%Pulmonary2
Hypertension,Urgency/Emergency,P,18,%Pulmonary3
Endocarditis,Endocarditis,P,1,%Vitals
Endocarditis,Endocarditis,P,2,%CVS1
Endocarditis,Endocarditis,P,3,%CVS2
Endocarditis,Endocarditis,P,4,%JVP
Endocarditis,Endocarditis,P,5,%Fluid Status1
Endocarditis,Endocarditis,P,6,%Fluid Status2
Endocarditis,Endocarditis,P,7,%In's And Out's
Endocarditis,Endocarditis,P,8,%Pulmonary1
Endocarditis,Endocarditis,P,9,%Pulmonary2
Endocarditis,Endocarditis,P,10,%Pulmonary3
Endocarditis,Endocarditis,P,11,%Abdo
Endocarditis,Endocarditis,P,12,%ECG1
Endocarditis,Endocarditis,P,13,%ECG2
Endocarditis,Endocarditis,P,14,%CXR1
Endocarditis,Endocarditis,P,15,%CXR2
Endocarditis,Endocarditis,P,16,%Echocardiogram
Endocarditis,Endocarditis,P,17,%Trop
Endocarditis,Endocarditis,P,18,%CBC
Endocarditis,Endocarditis,P,19,%Lytes
Endocarditis,Endocarditis,P,20,Risk factors: Congenital Heart Disease . Hypertrophic Cardiomyopathy .  Valvular Disease:_____ . Prosthetic valve _______  .  
Endocarditis,Endocarditis,P,21,"Non-CVS Risk Factors: S.Aureus Bacteremia . Recent Surgery . Long-term line (dialysis, catheter, etc) . IV Drug Use . DM . HIV . Cancer . Poor dental hygiene . "
Endocarditis,Endocarditis,P,22,Duke's Criteria:
Endocarditis,Endocarditis,P,23,IV Access Sites:
Endocarditis,Endocarditis,P,24,Cultures: Date Drawn:_____ Results:_
Endocarditis,Endocarditis,P,25,Signs and Symptoms:
Endocarditis,Endocarditis,P,26,Empiric ABx therapy:______________________ Stop Date:____
Endocarditis,Endocarditis,P,27,Adjusted ABx Therapy (after cultures return): :______________________ Stop Date:____
Endocarditis,Endocarditis,P,28,OutPt follow-up plan:
Endocarditis,Endocarditis,H,1,WBC
Endocarditis,Endocarditis,H,2,@Cultures: Date Drawn:_____ Results: 24h______________ Results 5days:______________
Endocarditis,Endocarditis,H,3,@Empiric ABx therapy:______________________ Stop Date:____
Endocarditis,Endocarditis,H,4,@Adjusted ABx Therapy (after cultures return): :______________________ Stop Date:____
Endocarditis,Endocarditis,H,5,#Arrange F/U ABx plan:________
Smoking,Smoking,P,1,Pack-years:
Smoking,Smoking,P,2,Interested in stopping: Y or N
Smoking,Smoking,H,1,@Discussed w/ Pt if ready to quit
Smoking,Smoking,H,2,"@If ready to quit, come up with plan with patient or consider consulting smoking cessation services"
........................................,,,,
Pulmonary,Pulmonary,P,1,
......................................,,,,
COPD,COPD - Stable,P,1,Home O2:__ Smoking Hx:_____________ Last PFT Date:______ FVC__ FEV1__
COPD,COPD - Stable,P,2,Home Meds:
COPD,COPD - Stable,P,3,Symptoms: Dyspnea Productive Cough Sputum Production Sputum purulence
COPD,COPD - Stable,P,4,%Vitals
COPD,COPD - Stable,P,5,%CVS1
COPD,COPD - Stable,P,6,%CVS2
COPD,COPD - Stable,P,7,%Pulmonary1
COPD,COPD - Stable,P,8,%Pulmonary2
COPD,COPD - Stable,P,9,%Pulmonary3
COPD,COPD Acute Exacerbation,P,1,Home O2:__ Smoking Hx:_____________ Last PFT Date:______ FVC__ FEV1__
COPD,COPD Acute Exacerbation,P,2,Last Immunization:_
COPD,COPD Acute Exacerbation,P,3,Home Meds:
COPD,COPD Acute Exacerbation,P,4,Symptoms: Dyspnea Productive Cough Sputum Production Sputum purulence
COPD,COPD Acute Exacerbation,P,5,Steroid Dose____________ of Tx Day__
COPD,COPD Acute Exacerbation,P,6,Antibiotic: ____________ of Treatment Day__. End Date:_______
COPD,COPD Acute Exacerbation,P,7,Inhalers:
COPD,COPD Acute Exacerbation,P,8,%Vitals
COPD,COPD Acute Exacerbation,P,9,%CVS1
COPD,COPD Acute Exacerbation,P,10,%CVS2
COPD,COPD Acute Exacerbation,P,11,%Pulmonary1
COPD,COPD Acute Exacerbation,P,12,%Pulmonary2
COPD,COPD Acute Exacerbation,P,13,%Pulmonary3
COPD,COPD Acute Exacerbation,P,14,%COPD1
COPD,COPD Acute Exacerbation,P,15,%COPD2
COPD,COPD Acute Exacerbation,P,16,%COPD3
COPD,COPD Acute Exacerbation,P,17,%COPD4
COPD,COPD Acute Exacerbation,H,1,O2 Support: 
COPD,COPD Acute Exacerbation,H,2,On Steroid
COPD,COPD Acute Exacerbation,H,3,On ABx
COPD,COPD Acute Exacerbation,H,4,@Last Immunization:_
COPD,COPD Acute Exacerbation,H,5,@Using Spirometry
COPD,COPD Acute Exacerbation,H,6,@Consult COPD Nurse Educator
COPD,COPD Acute Exacerbation,H,7,@Circle if consulted: PT  Resp Therapy
COPD,COPD Acute Exacerbation,H,8,#F/U with Practioner 
COPD,COPD Acute Exacerbation,H,9,#Instructions for PFT if required
COPD,COPD Acute Exacerbation,H,10,#If Home O2 Required: Resp Therapy Consulted and ABG on date of D/C 
Pneumonia,Community Acquired Pneumonia,P,1,Symptoms:
Pneumonia,Community Acquired Pneumonia,P,2,%Pulmonary1
Pneumonia,Community Acquired Pneumonia,P,3,%Pulmonary2
Pneumonia,Community Acquired Pneumonia,P,4,%Pulmonary3
Pneumonia,Community Acquired Pneumonia,P,5,%Pulmonary4
Pneumonia,Community Acquired Pneumonia,P,6,Management:
Pneumonia,Community Acquired Pneumonia,P,7,CURB-65 Score:
Pneumonia,Community Acquired Pneumonia,P,8,Last CXR: Date_ Major findings:
Pneumonia,Community Acquired Pneumonia,P,9,Antibiotic: _ of Treatment Day_. End Date:_
Pneumonia,Community Acquired Pneumonia,H,1,WBC
Pneumonia,Community Acquired Pneumonia,H,2,@CXR Recently
Pneumonia,Community Acquired Pneumonia,H,3,@Cultures: Date Drawn:_____ Results: 24h______________ Results 5days:______________
Pneumonia,Community Acquired Pneumonia,H,4,@On Abx
Pneumonia,Community Acquired Pneumonia,H,5,@Alternative Abx to Consider if Treatment Fails:
Pneumonia,Hospital Acquired Pneumonia,P,1,Symptoms:
Pneumonia,Hospital Acquired Pneumonia,P,2,%Pulmonary1
Pneumonia,Hospital Acquired Pneumonia,P,3,%Pulmonary2
Pneumonia,Hospital Acquired Pneumonia,P,4,%Pulmonary3
Pneumonia,Hospital Acquired Pneumonia,P,5,%Pulmonary4
Pneumonia,Hospital Acquired Pneumonia,P,6,Management:
Pneumonia,Hospital Acquired Pneumonia,P,7,CURB-65 Score:
Pneumonia,Hospital Acquired Pneumonia,P,8,Last CXR: Date_ Major findings:
Pneumonia,Hospital Acquired Pneumonia,P,9,Cultures: Date Drawn:_____ Results:_
Pneumonia,Hospital Acquired Pneumonia,P,10,Antibiotic: _ of Treatment Day_. End Date:_
Pneumonia,Hospital Acquired Pneumonia,H,1,WBC
Pneumonia,Hospital Acquired Pneumonia,H,2,@CXR Recently
Pneumonia,Hospital Acquired Pneumonia,H,3,@Cultures: Date Drawn:_____ Results: 24h______________ Results 5days:______________
Pneumonia,Hospital Acquired Pneumonia,H,4,@On Abx
Pneumonia,Hospital Acquired Pneumonia,H,5,@Alternative Abx to Consider if Treatment Fails:
Pneumonia,Aspiration Pneumonia,P,1,Risk Factors:
Pneumonia,Aspiration Pneumonia,P,2,Symptoms:
Pneumonia,Aspiration Pneumonia,P,3,%Pulmonary1
Pneumonia,Aspiration Pneumonia,P,4,%Pulmonary2
Pneumonia,Aspiration Pneumonia,P,5,%Pulmonary3
Pneumonia,Aspiration Pneumonia,P,6,%Pulmonary5
Pneumonia,Aspiration Pneumonia,P,7,CURB-65 Score:
Pneumonia,Aspiration Pneumonia,P,8,Last CXR: Date_ Major findings:
Pneumonia,Aspiration Pneumonia,P,9,Cultures: Date Drawn:_____ Results:_
Pneumonia,Aspiration Pneumonia,P,10,Antibiotics (ensure Gram Š—–ve coverage)
Pneumonia,Aspiration Pneumonia,P,11,Antibiotic 1: _ of Treatment Day_. End Date:_
Pneumonia,Aspiration Pneumonia,P,12,Antibiotic 2: _ of Treatment Day_. End Date:_
Pneumonia,Aspiration Pneumonia,P,13,Swallowing Assessment:
Pneumonia,Aspiration Pneumonia,H,1,WBC
Pneumonia,Aspiration Pneumonia,H,2,@CXR Recently
Pneumonia,Aspiration Pneumonia,H,3,@Cultures: Date Drawn:_____ Results: 24h______________ Results 5days:______________
Pneumonia,Aspiration Pneumonia,H,4,@On Abx
Pneumonia,Aspiration Pneumonia,H,5,@Alternative Abx to Consider if Treatment Fails:
Pneumonia,Aspiration Pneumonia,H,6,@SLP Swallowing Assessment
Pleural Effusion,Exudative or Unknown Pleural Effusion,P,1,Symptoms:
Pleural Effusion,Exudative or Unknown Pleural Effusion,P,2,%CVS1
Pleural Effusion,Exudative or Unknown Pleural Effusion,P,3,%CVS2
Pleural Effusion,Exudative or Unknown Pleural Effusion,P,4,%Pulmonary1
Pleural Effusion,Exudative or Unknown Pleural Effusion,P,5,%Pulmonary2
Pleural Effusion,Exudative or Unknown Pleural Effusion,P,6,%Pulmonary3
Pleural Effusion,Exudative or Unknown Pleural Effusion,P,7,%Pulmonary4
Pleural Effusion,Exudative or Unknown Pleural Effusion,P,8,Initial CXR: Loculated or Not. Other findings_
Pleural Effusion,Exudative or Unknown Pleural Effusion,P,9,Major CXR Changes:
Pleural Effusion,Exudative or Unknown Pleural Effusion,P,10,Light's Criteria: Transudative or Exudative
Pleural Effusion,Exudative or Unknown Pleural Effusion,P,11,$Fluid Protein:_ Fluid Protein/Serum Protein:_ Fluid Glucose:_Date:
Pleural Effusion,Exudative or Unknown Pleural Effusion,P,12,$Other findings:_
Pleural Effusion,Exudative or Unknown Pleural Effusion,P,13,Drain Inserted Y or N
Pleural Effusion,Exudative or Unknown Pleural Effusion,P,14,$If drain inserted: Date of drain insertion:_ . Fluid drained in last 24h:__
Pleural Effusion,Transudative Pleural Effusion,P,1,Symptoms:
Pleural Effusion,Transudative Pleural Effusion,P,2,%CVS1
Pleural Effusion,Transudative Pleural Effusion,P,3,%CVS2
Pleural Effusion,Transudative Pleural Effusion,P,4,%Pulmonary1
Pleural Effusion,Transudative Pleural Effusion,P,5,%Pulmonary2
Pleural Effusion,Transudative Pleural Effusion,P,6,%Pulmonary3
Pleural Effusion,Transudative Pleural Effusion,P,7,%Pulmonary4
Pleural Effusion,Transudative Pleural Effusion,P,8,Initial CXR: Loculated or Not. Other findings:_
Pleural Effusion,Transudative Pleural Effusion,P,9,Major CXR Changes:
Pleural Effusion,Transudative Pleural Effusion,P,10,Light's Criteria: Transudative or Exudative
Pleural Effusion,Transudative Pleural Effusion,P,11,$Fluid Protein:_ Fluid Protein/Serum Protein:_ Fluid Glucose:_Date:
Pleural Effusion,Transudative Pleural Effusion,P,12,Drain Inserted Y or N
Pleural Effusion,Transudative Pleural Effusion,P,13,$If drain inserted: Date of drain insertion:_ . Fluid drained in last 24h:__
Pleural Effusion,Transudative Pleural Effusion,P,14,Suspected Etiology: CHF Cirrhosis Nephrotic Syndrome or Other/Unknown:_
Pleural Effusion,Transudative Pleural Effusion,P,15,Serum Albumin:
Pleural Effusion,Transudative Pleural Effusion,P,16,Management Plan:
.....................................,,,,
Nephrology,Nephrology,P,1,
....................................,,,,
AKI,AKI - no CKD,P,1,Baseline SCr:__SCr Trend in last 3 days__ -> __ ->__
AKI,AKI - no CKD,P,2,%Vitals
AKI,AKI - no CKD,P,3,%CVS1
AKI,AKI - no CKD,P,4,%CVS2
AKI,AKI - no CKD,P,5,%Pulmonary1
AKI,AKI - no CKD,P,6,%Pulmonary2
AKI,AKI - no CKD,P,7,%Pulmonary3
AKI,AKI - no CKD,P,8,%Fluid Status1
AKI,AKI - no CKD,P,9,%Fluid Status2
AKI,AKI - no CKD,P,10,%Edema
AKI,AKI - no CKD,P,11,%JVP
AKI,AKI - no CKD,P,12,%CBC
AKI,AKI - no CKD,P,14,%ExtendedLytes
AKI,AKI - no CKD,P,15,Suspected Etiology:
AKI,AKI - no CKD,P,16,UA
AKI,AKI - no CKD,P,17,Renal U/S:_
AKI,AKI - no CKD,P,18,Recent Nephrotoxins
AKI,AKI - no CKD,P,19,Management Plan:
AKI,AKI - no CKD,H,1,SCr (basline___)
AKI,AKI - no CKD,H,2,@Suspected Etiology:
AKI,AKI - no CKD,H,3,@UA
AKI,AKI - no CKD,H,4,@Renal U/S:_
AKI,AKI - no CKD,H,5,@Recent Nephrotoxins / Meds Adjusted:
AKI,AKI on CKD with no dialysis,P,1,%Vitals
AKI,AKI on CKD with no dialysis,P,2,%CVS1
AKI,AKI on CKD with no dialysis,P,3,%CVS2
AKI,AKI on CKD with no dialysis,P,4,%Pulmonary1
AKI,AKI on CKD with no dialysis,P,5,%Pulmonary2
AKI,AKI on CKD with no dialysis,P,6,%Pulmonary3
AKI,AKI on CKD with no dialysis,P,7,%Fluid Status1
AKI,AKI on CKD with no dialysis,P,8,%Fluid Status2
AKI,AKI on CKD with no dialysis,P,9,%Edema
AKI,AKI on CKD with no dialysis,P,10,%JVP
AKI,AKI on CKD with no dialysis,P,11,Baseline SCr:_SCr Trend in last 3 days_ -> _ ->_
AKI,AKI on CKD with no dialysis,P,12,Suspected Etiology:
AKI,AKI on CKD with no dialysis,P,14,UA
AKI,AKI on CKD with no dialysis,P,15,Renal U/S:_ 
AKI,AKI on CKD with no dialysis,P,16,Recent Nephrotoxins
AKI,AKI on CKD with no dialysis,P,17,Baseline eGFR:_ Date:_ Suspected Etiology of CKD:
AKI,AKI on CKD with no dialysis,P,18,PtŠ—Ès Nephrologist:
AKI,AKI on CKD with no dialysis,P,19,Nephro Consulted: Y or N
AKI,AKI on CKD with no dialysis,P,20,Management Plan:
AKI,AKI on CKD with no dialysis,H,1,SCr (basline___)
AKI,AKI on CKD with no dialysis,H,2,Potassium
AKI,AKI on CKD with no dialysis,H,3,Check Lytes
AKI,AKI on CKD with no dialysis,H,4,@Suspected Etiology:
AKI,AKI on CKD with no dialysis,H,5,@UA
AKI,AKI on CKD with no dialysis,H,6,@Renal U/S:_
AKI,AKI on CKD with no dialysis,H,7,@Recent Nephrotoxins / Meds Adjusted:
AKI,AKI on CKD with no dialysis,H,8,"@If Nephro Consulted, Date of consult:_______"
AKI,On Hemodialysis Due to AKI,P,1,Baseline SCr:_SCr Trend in last 3 days_ -> _ ->_
AKI,On Hemodialysis Due to AKI,P,2,Baseline eGFR:_ Date:_
AKI,On Hemodialysis Due to AKI,P,3,%Vitals
AKI,On Hemodialysis Due to AKI,P,4,%CVS1
AKI,On Hemodialysis Due to AKI,P,5,%CVS2
AKI,On Hemodialysis Due to AKI,P,6,%Pulmonary1
AKI,On Hemodialysis Due to AKI,P,7,%Pulmonary2
AKI,On Hemodialysis Due to AKI,P,8,%Pulmonary3
AKI,On Hemodialysis Due to AKI,P,9,%Fluid Status1
AKI,On Hemodialysis Due to AKI,P,10,%Fluid Status2
AKI,On Hemodialysis Due to AKI,P,11,%Edema
AKI,On Hemodialysis Due to AKI,P,12,%JVP
AKI,On Hemodialysis Due to AKI,P,14,Suspected Etiology:
AKI,On Hemodialysis Due to AKI,P,15,UA
AKI,On Hemodialysis Due to AKI,P,16,Renal U/S:_
AKI,On Hemodialysis Due to AKI,P,17,Recent Nephrotoxins
AKI,On Hemodialysis Due to AKI,P,18,PtŠ—Ès Nephrologist:
AKI,On Hemodialysis Due to AKI,P,19,Date start HD:
AKI,On Hemodialysis Due to AKI,P,20,Location of HD:
AKI,On Hemodialysis Due to AKI,P,21,HD_ times/week on which days of week:_
AKI,On Hemodialysis Due to AKI,P,22,Acces site: Central or fistula
AKI,On Hemodialysis Due to AKI,P,22,Dry Weight:_ Weight last HD removed:_
AKI,On Hemodialysis Due to AKI,P,23,Lowest BP during last HD run:_
AKI,On Hemodialysis Due to AKI,P,24,Any recent complications on HD?:
AKI,On Hemodialysis Due to AKI,P,25,Management Plan:
...................................,,,,
Neurology,Neurology,P,1,
..................................,,,,
Delirium,Delirium,P,1,CAM Criteria: Need A B and either C or D
Delirium,Delirium,P,2,$A) Acute Onset and Fluctuating Course
Delirium,Delirium,P,3,$B) In attention/easily distractible
Delirium,Delirium,P,4,$C) Disorganized thinking OR D) altered LOC
Delirium,Delirium,P,5,Drugs and recent changes:
Delirium,Delirium,P,6,Infectious Symptoms:
Delirium,Delirium,P,7,$Urine: Foley Catheter Y or N. Urinary Symptoms: Y or N. UA and C&S Results
Delirium,Delirium,P,8,$GI: Diarrhea Y N. Other symptoms:
Delirium,Delirium,P,9,$CXR if Resp Symptoms:
Delirium,Delirium,P,10,Metabolic/Lyte abnormalities:
Delirium,Delirium,P,11,Structural: See Neuro Exam
